Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Central carbon metabolism in cancer	37/70	2.766003e-02	9.999969e-01	0	0	1.628020e+00	5.840956e+00	RET;FLT3;PTEN;SLC2A1;PIK3CB;SLC1A5;HIF1A;HK2;GLS;HK1;LDHA;NRAS;AKT2;MYC;AKT3;AKT1;HRAS;SLC16A3;PDK1;MAPK3;G6PD;TIGAR;MAP2K2;IDH1;NTRK3;IDH2;SIRT6;SLC7A5;PKM;PIK3CA;SCO2;KIT;RAF1;MET;PFKM;FGFR2;PFKP
KEGG_2021_Human	Longevity regulating pathway	51/102	3.761198e-02	9.999969e-01	0	0	1.452305e+00	4.764188e+00	CLPB;IRS1;EHMT1;PRKAG2;PIK3CB;PRKAG3;IGF1R;RPTOR;STK11;CREB3L3;AKT2;SESN1;RB1CC1;AKT3;SESN2;AKT1;PRKACA;HRAS;PRKAB2;TSC1;ATG13;SIRT1;ADCY9;CREB1;PIK3CA;AKT1S1;ULK1;PPARG;EIF4E2;ATF4;HDAC2;ADCY4;ADCY3;ADCY2;ADIPOR1;FOXO3;ADIPOR2;FOXO1;ADCY6;ADCY5;NRAS;ATG101;EIF4E;HSPA8;HSPA1L;INSR;HSPA6;SOD2;NFKB1;RPS6KB1;RHEB
KEGG_2021_Human	Estrogen signaling pathway	64/137	9.390200e-02	9.999969e-01	0	0	1.272916e+00	3.011087e+00	HSP90AB1;CALML5;PIK3CB;CREB3L3;AKT2;GPER1;AKT3;AKT1;PRKACA;HRAS;NCOA1;NCOA2;HSP90AA1;MAP2K2;NCOA3;FOS;MMP9;ADCY9;CREB1;PLCB4;PIK3CA;RARA;TFF1;FKBP4;RAF1;PLCB1;SOS1;ATF4;FKBP5;SHC3;SRC;ITPR1;ADCY4;ITPR2;TGFA;ADCY3;ITPR3;ADCY2;ADCY6;GNAI1;HSP90B1;ADCY5;GNAI2;NRAS;KCNJ3;MAPK3;HSPA8;GABBR1;HSPA1L;NOS3;HSPA6;ESR1;ESR2;GNAO1;KRT19;KRT18;SP1;KRT16;GNAS;CALM3;GRB2;CALM1;CALM2;EBAG9
KEGG_2021_Human	Phosphatidylinositol signaling system	46/97	1.113754e-01	9.999969e-01	0	0	1.309115e+00	2.873310e+00	CDS1;IPPK;MTMR1;DGKE;CALML5;DGKA;INPPL1;ITPR1;PTEN;ITPR2;ITPR3;PIK3CB;PIK3C2B;INPP5A;PIP4P1;INPP5F;IMPA1;INPP5D;INPP5E;PLCG2;PIP4K2A;PLCE1;BPNT2;PIP4K2B;PLCG1;IP6K3;PRKCG;SACM1L;ITPK1;OCRL;DGKZ;INPP4A;ITPKB;INPP4B;PLCB4;SYNJ1;PIK3CA;DGKQ;PI4KA;CALM3;CALM1;PLCB1;PLCD3;CALM2;DGKI;DGKH
KEGG_2021_Human	One carbon pool by folate	11/20	1.441751e-01	9.999969e-01	0	0	1.772627e+00	3.433094e+00	ALDH1L1;DHFR2;MTFMT;ATIC;MTHFD1;MTHFD1L;SHMT1;ST20-MTHFS;MTHFR;MTR;FTCD
KEGG_2021_Human	Rap1 signaling pathway	92/210	2.074317e-01	9.999969e-01	0	0	1.131585e+00	1.779931e+00	ITGB1;DOCK4;FLT1;CALML5;ITGB2;PIK3CB;SIPA1L3;ACTB;FGF3;IGF1R;FGF7;SIPA1L1;FGF9;CDH1;AKT2;RASSF5;AKT3;AKT1;PLCE1;RAC3;RAC1;HRAS;PRKCG;VAV3;MAGI1;MAP2K3;PRKCI;MAP2K2;MAGI3;VAV1;PGF;VAV2;ADCY9;PLCB4;PIK3CA;ADORA2B;KIT;RAPGEF1;PFN4;PRKD2;EVL;TLN1;PLCB1;RAPGEF5;RAF1;MET;SKAP1;EPHA2;RAPGEF4;RALB;SRC;ADCY4;PDGFA;ADCY3;ADCY2;EFNA5;PRKCZ;THBS1;ADCY6;GNAI1;RAP1GAP;ADCY5;GNAI2;GRIN2A;NRAS;PARD6B;P2RY1;KRIT1;PLCG1;RALGDS;MAPK3;FARP2;INSR;VEGFB;BRAF;MAPK14;MAPK12;GRIN1;MAPK13;EFNA1;GNAO1;EFNA3;FGF19;FGF18;GNAS;CTNNB1;CALM3;CALM1;CALM2;SIPA1;FGFR2;BCAR1
KEGG_2021_Human	Thyroid cancer	18/37	2.104595e-01	9.999969e-01	0	0	1.374016e+00	2.141351e+00	RET;TCF7L1;MAP2K2;TPM3;NCOA4;BRAF;DDB2;GADD45G;NRAS;RXRA;CDH1;MYC;TPR;CCDC6;CTNNB1;PPARG;HRAS;MAPK3
KEGG_2021_Human	Selenocompound metabolism	9/17	2.192509e-01	9.999969e-01	0	0	1.631360e+00	2.475652e+00	TXNRD3;MARS2;TXNRD1;MARS1;MTR;KYAT1;SCLY;SEPHS2;PSTK
KEGG_2021_Human	Cortisol synthesis and secretion	30/65	2.259843e-01	9.999969e-01	0	0	1.243305e+00	1.849154e+00	SCARB1;ADCY4;ITPR1;ADCY3;ITPR2;ADCY2;CACNA1D;ITPR3;CACNA1C;ADCY6;CACNA1H;ADCY5;CREB3L3;CACNA1S;PRKACA;PDE8A;LDLR;PBX1;NR4A1;ADCY9;CREB1;PLCB4;NCEH1;SP1;GNAS;ORAI1;PLCB1;KCNK2;KCNK3;ATF4
KEGG_2021_Human	Bacterial invasion of epithelial cells	35/77	2.372740e-01	9.999969e-01	0	0	1.208795e+00	1.738899e+00	ITGB1;SHC3;ARHGEF26;SRC;ARPC1B;CLTC;CLTB;PIK3CB;WASL;ACTB;ACTR3C;CDH1;CLTCL1;CTNNA1;CTNNA3;RAC1;CAV3;SEPTIN1;SEPTIN2;CAV1;GAB1;ARPC5;SEPTIN9;PTK2;CD2AP;DNM2;SEPTIN8;DNM3;CTTN;PIK3CA;ARPC2;ELMO2;CTNNB1;MET;BCAR1
